time,q,dq,tau,qd
0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,-3.200000000000000000e+01,0.000000000000000000e+00
2.000000000000000042e-03,7.997577829345297040e-01,-1.211085327351595770e-01,-3.102144305549991188e+01,0.000000000000000000e+00
4.000000000000000083e-03,7.992827886797075898e-01,-2.374971274110540265e-01,-3.007133452789987160e+01,0.000000000000000000e+00
6.000000000000000125e-03,7.985841670601635522e-01,-3.493108097720313276e-01,-2.914888020423029147e+01,0.000000000000000000e+00
8.000000000000000167e-03,7.976707860973948350e-01,-4.566904813843604694e-01,-2.825330759282091009e+01,0.000000000000000000e+00
1.000000000000000021e-02,7.965512400212729771e-01,-5.597730380609124978e-01,-2.738386529636361999e+01,0.000000000000000000e+00
1.200000000000000025e-02,7.952338570525477879e-01,-6.586914843625799598e-01,-2.653982240720127095e+01,0.000000000000000000e+00
1.400000000000000029e-02,7.937267069638618278e-01,-7.535750443429881651e-01,-2.572046792381057045e+01,0.000000000000000000e+00
1.600000000000000033e-02,7.920376084264718619e-01,-8.445492686949640504e-01,-2.492511018749916474e+01,0.000000000000000000e+00
1.800000000000000211e-02,7.901741361495728810e-01,-9.317361384494694532e-01,-2.415307633838715873e+01,0.000000000000000000e+00
2.000000000000000389e-02,7.881436278188322930e-01,-1.015254165370270467e+00,-2.340371178979112798e+01,0.000000000000000000e+00
2.200000000000000566e-02,7.859531908404713274e-01,-1.095218489180505905e+00,-2.267637972017480763e+01,0.000000000000000000e+00
2.400000000000000744e-02,7.836097088969702362e-01,-1.171740971750530047e+00,-2.197046058187456907e+01,0.000000000000000000e+00
2.600000000000000921e-02,7.811198483202304033e-01,-1.244930288369929139e+00,-2.128535162584978480e+01,0.000000000000000000e+00
2.800000000000001099e-02,7.784900642877895516e-01,-1.314892016220449822e+00,-2.062046644174798260e+01,0.000000000000000000e+00
3.000000000000001277e-02,7.757266068474680809e-01,-1.381728720160710244e+00,-1.997523451261304217e+01,0.000000000000000000e+00
3.200000000000001454e-02,7.728355267756120695e-01,-1.445540035927994182e+00,-1.934910078360053021e+01,0.000000000000000000e+00
3.400000000000001632e-02,7.698226812738977465e-01,-1.506422750857136172e+00,-1.874152524409882048e+01,0.000000000000000000e+00
3.600000000000001810e-02,7.666937395094747254e-01,-1.564470882211487446e+00,-1.815198252268708856e+01,0.000000000000000000e+00
3.800000000000001987e-02,7.634541880030423222e-01,-1.619775753216198710e+00,-1.757996149439210143e+01,0.000000000000000000e+00
4.000000000000002165e-02,7.601093358692831981e-01,-1.672426066879545647e+00,-1.702496489973496452e+01,0.000000000000000000e+00
4.200000000000002343e-02,7.566643199139156950e-01,-1.722507977683765512e+00,-1.648650897508650104e+01,0.000000000000000000e+00
4.400000000000002520e-02,7.531241095914700256e-01,-1.770105161222835122e+00,-1.596412309387611828e+01,0.000000000000000000e+00
4.600000000000002698e-02,7.494935118277483710e-01,-1.815298881860811786e+00,-1.545734941822344055e+01,0.000000000000000000e+00
4.800000000000002875e-02,7.457771757107868327e-01,-1.858168058480751172e+00,-1.496574256058546304e+01,0.000000000000000000e+00
5.000000000000003053e-02,7.419795970540051799e-01,-1.898789328390820375e+00,-1.448886925503364331e+01,0.000000000000000000e+00
5.200000000000003231e-02,7.381051228351032112e-01,-1.937237109451003692e+00,-1.402630803779609714e+01,0.000000000000000000e+00
5.400000000000003408e-02,7.341579555141416469e-01,-1.973583660480774160e+00,-1.357764893671947348e+01,0.000000000000000000e+00
5.600000000000003586e-02,7.301421572341311172e-01,-2.007899140005237726e+00,-1.314249316932334466e+01,0.000000000000000000e+00
5.800000000000003764e-02,7.260616539073420084e-01,-2.040251663394562875e+00,-1.272045284913717822e+01,0.000000000000000000e+00
6.000000000000003941e-02,7.219202391904441241e-01,-2.070707358448962143e+00,-1.231115070002606871e+01,0.000000000000000000e+00
6.200000000000004119e-02,7.177215783514859782e-01,-2.099330419479093379e+00,-1.191421977822669120e+01,0.000000000000000000e+00
6.400000000000004297e-02,7.134692120316270536e-01,-2.126183159929488031e+00,-1.152930320182917612e+01,0.000000000000000000e+00
6.600000000000004474e-02,7.091665599044461032e-01,-2.151326063590482729e+00,-1.115605388745398230e+01,0.000000000000000000e+00
6.800000000000004652e-02,7.048169242355618591e-01,-2.174817834442116293e+00,-1.079413429388554491e+01,0.000000000000000000e+00
7.000000000000004829e-02,7.004234933452186951e-01,-2.196715445171573133e+00,-1.044321617243616274e+01,0.000000000000000000e+00
7.200000000000005007e-02,6.959893449764107398e-01,-2.217074184403953208e+00,-1.010298032382480571e+01,0.000000000000000000e+00
7.400000000000005185e-02,6.915174495710417757e-01,-2.235947702684482064e+00,-9.773116361365815408e+00,0.000000000000000000e+00
7.600000000000005362e-02,6.870106734565444295e-01,-2.253388057248674414e+00,-9.453322480272383643e+00,0.000000000000000000e+00
7.800000000000005540e-02,6.824717819453134382e-01,-2.269445755615486338e+00,-9.143305232888646827e+00,0.000000000000000000e+00
8.000000000000005718e-02,6.779034423492392714e-01,-2.284169798037062993e+00,-8.842779309673066024e+00,0.000000000000000000e+00
8.200000000000005895e-02,6.733082269115645557e-01,-2.297607718837375135e+00,-8.551467325763582039e+00,0.000000000000000000e+00
8.400000000000006073e-02,6.686886156582230178e-01,-2.309805626670774270e+00,-8.269099612962726553e+00,0.000000000000000000e+00
8.600000000000006251e-02,6.640469991707623754e-01,-2.320808243730313691e+00,-7.995414016987986372e+00,0.000000000000000000e+00
8.800000000000006428e-02,6.593856812828932101e-01,-2.330658943934567517e+00,-7.730155699839187378e+00,0.000000000000000000e+00
9.000000000000006606e-02,6.547068817026520104e-01,-2.339399790120623823e+00,-7.473076947141091608e+00,0.000000000000000000e+00
9.200000000000006783e-02,6.500127385621121689e-01,-2.347071570269923857e+00,-7.223936980325095902e+00,0.000000000000000000e+00
9.400000000000006961e-02,6.453053108965267626e-01,-2.353713832792688532e+00,-6.982501773519562249e+00,0.000000000000000000e+00
9.600000000000007139e-02,6.405865810547352046e-01,-2.359364920895766993e+00,-6.748543875023273131e+00,0.000000000000000000e+00
9.800000000000007316e-02,6.358584570426193405e-01,-2.364062006057909837e+00,-6.521842233241496700e+00,0.000000000000000000e+00
1.000000000000000749e-01,6.311227748013480410e-01,-2.367841120635660435e+00,-6.302182026968637274e+00,0.000000000000000000e+00
1.020000000000000767e-01,6.263813004221033820e-01,-2.370737189622305063e+00,-6.089354499905695661e+00,0.000000000000000000e+00
1.040000000000000785e-01,6.216357322989402023e-01,-2.372784061581602266e+00,-5.883156799304789075e+00,0.000000000000000000e+00
