time,q,dq,tau,qd
0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,-3.200000000000000000e+01,0.000000000000000000e+00
2.000000000000000042e-03,7.997577829345297040e-01,-1.211085327351595770e-01,-3.005257479361863560e+01,0.000000000000000000e+00
4.000000000000000083e-03,7.992921506975469992e-01,-2.328161184913461468e-01,-2.824662813204034251e+01,0.000000000000000000e+00
6.000000000000000125e-03,7.986205235492045418e-01,-3.358135741712387490e-01,-2.657180375522836258e+01,0.000000000000000000e+00
8.000000000000000167e-03,7.977590413009054693e-01,-4.307411241495422427e-01,-2.501850366564354289e+01,0.000000000000000000e+00
1.000000000000000021e-02,7.967226570840225675e-01,-5.181921084414395917e-01,-2.357783254829787012e+01,0.000000000000000000e+00
1.200000000000000025e-02,7.955252242473397351e-01,-5.987164183414034335e-01,-2.224154627643113713e+01,0.000000000000000000e+00
1.400000000000000029e-02,7.941795768879855721e-01,-6.728236796771052131e-01,-2.100200420068573948e+01,0.000000000000000000e+00
1.600000000000000033e-02,7.926976044833500268e-01,-7.409862023177834489e-01,-1.985212494224946767e+01,0.000000000000000000e+00
1.800000000000000211e-02,7.910903210569786292e-01,-8.036417131856961049e-01,-1.878534543130800927e+01,0.000000000000000000e+00
2.000000000000000389e-02,7.893679292795102720e-01,-8.611958887341936153e-01,-1.779558295143331037e+01,0.000000000000000000e+00
2.200000000000000566e-02,7.875398798761737984e-01,-9.140247016682631065e-01,-1.687719996835474490e+01,0.000000000000000000e+00
2.400000000000000744e-02,7.856149266850027679e-01,-9.624765955855166810e-01,-1.602497153803184204e+01,0.000000000000000000e+00
2.600000000000000921e-02,7.836011776846016907e-01,-1.006874500200558797e+00,-1.523405510417512687e+01,0.000000000000000000e+00
2.800000000000001099e-02,7.815061422868475605e-01,-1.047517698877052039e+00,-1.449996250944106890e+01,0.000000000000000000e+00
3.000000000000001277e-02,7.793367751682001021e-01,-1.084683559323715185e+00,-1.381853405754856112e+01,0.000000000000000000e+00
3.200000000000001454e-02,7.770995168931851271e-01,-1.118629137507504145e+00,-1.318591447560733698e+01,0.000000000000000000e+00
3.400000000000001632e-02,7.748003315649963918e-01,-1.149592664094349237e+00,-1.259853063709026699e+01,0.000000000000000000e+00
3.600000000000001810e-02,7.724447417209154843e-01,-1.177794922040463543e+00,-1.205307091618920268e+01,0.000000000000000000e+00
3.800000000000001987e-02,7.700378606742731558e-01,-1.203440523321154254e+00,-1.154646605383245728e+01,0.000000000000000000e+00
4.000000000000002165e-02,7.675844224898824564e-01,-1.226719092195367677e+00,-1.107587142446941542e+01,0.000000000000000000e+00
4.200000000000002343e-02,7.650888097661638909e-01,-1.247806361859287394e+00,-1.063865060089795733e+01,0.000000000000000000e+00
4.400000000000002520e-02,7.625550793844881881e-01,-1.266865190837865640e+00,-1.023236012197367728e+01,0.000000000000000000e+00
4.600000000000002698e-02,7.599869863744959098e-01,-1.284046504996152249e+00,-9.854735375041400403e+00,0.000000000000000000e+00
4.800000000000002875e-02,7.573880060332561781e-01,-1.299490170619869600e+00,-9.503677511412334411e+00,0.000000000000000000e+00
5.000000000000003053e-02,7.547613544260276530e-01,-1.313325803614272314e+00,-9.177241319212747328e+00,0.000000000000000000e+00
