time,q,dq,tau,qd
0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,-6.400000000000000000e+01,0.000000000000000000e+00
2.000000000000000042e-03,7.994485720927176908e-01,-2.757139536411933878e-01,-6.175017413828786772e+01,0.000000000000000000e+00
4.000000000000000083e-03,7.983674200937731502e-01,-5.405759994722795225e-01,-5.954478561172361140e+01,0.000000000000000000e+00
6.000000000000000125e-03,7.967777838924400280e-01,-7.948181006665688830e-01,-5.738367790606265118e+01,0.000000000000000000e+00
8.000000000000000167e-03,7.947004422357202280e-01,-1.038670828359875786e+00,-5.526666875197861373e+01,0.000000000000000000e+00
1.000000000000000021e-02,7.921557156871636973e-01,-1.272363274278267120e+00,-5.319355106074696238e+01,0.000000000000000000e+00
1.200000000000000025e-02,7.891634697586077385e-01,-1.496122964277977196e+00,-5.116409386646480328e+01,0.000000000000000000e+00
1.400000000000000029e-02,7.857431182125035329e-01,-1.710175773052078130e+00,-4.917804327258365760e+01,0.000000000000000000e+00
1.600000000000000033e-02,7.819136265320077994e-01,-1.914745840247849218e+00,-4.723512340057783376e+01,0.000000000000000000e+00
1.800000000000000211e-02,7.776935155555547707e-01,-2.110055488226540987e+00,-4.533503733863205554e+01,0.000000000000000000e+00
2.000000000000000389e-02,7.731008652721873542e-01,-2.296325141683735360e+00,-4.347746808830510901e+01,0.000000000000000000e+00
2.200000000000000566e-02,7.681533187735192225e-01,-2.473773249334072055e+00,-4.166207950720896491e+01,0.000000000000000000e+00
2.400000000000000744e-02,7.628680863578212179e-01,-2.642616207849003196e+00,-3.988851724583367542e+01,0.000000000000000000e+00
2.600000000000000921e-02,7.572619497813798395e-01,-2.803068288220680326e+00,-3.815640967674494277e+01,0.000000000000000000e+00
2.800000000000001099e-02,7.513512666519612804e-01,-2.955341564709253799e+00,-3.646536881448287204e+01,0.000000000000000000e+00
3.000000000000001277e-02,7.451519749589313735e-01,-3.099645846514974767e+00,-3.481499122459470641e+01,0.000000000000000000e+00
3.200000000000001454e-02,7.386795977343301178e-01,-3.236188612300641143e+00,-3.320485892034128028e+01,0.000000000000000000e+00
3.400000000000001632e-02,7.319492478389816315e-01,-3.365174947674260952e+00,-3.163454024572444112e+01,0.000000000000000000e+00
3.600000000000001810e-02,7.249756328675287520e-01,-3.486807485726434397e+00,-3.010359074359082499e+01,0.000000000000000000e+00
3.800000000000001987e-02,7.177730601661248544e-01,-3.601286350701945693e+00,-2.861155400767442103e+01,0.000000000000000000e+00
4.000000000000002165e-02,7.103554419563838929e-01,-3.708809104870492313e+00,-2.715796251754677115e+01,0.000000000000000000e+00
4.200000000000002343e-02,7.027363005590889777e-01,-3.809570698647433584e+00,-2.574233845554764954e+01,0.000000000000000000e+00
4.400000000000002520e-02,6.949287737110850793e-01,-3.903763424001932769e+00,-2.436419450487134242e+01,0.000000000000000000e+00
4.600000000000002698e-02,6.869456199687311582e-01,-3.991576871176979235e+00,-2.302303462808265877e+01,0.000000000000000000e+00
4.800000000000002875e-02,6.787992241912641500e-01,-4.073197888733502303e+00,-2.171835482543311713e+01,0.000000000000000000e+00
5.000000000000003053e-02,6.705016030974257912e-01,-4.148810546919174946e+00,-2.044964387244066728e+01,0.000000000000000000e+00
5.200000000000003231e-02,6.620644108887226986e-01,-4.218596104351558296e+00,-1.921638403628534775e+01,0.000000000000000000e+00
5.400000000000003408e-02,6.534989449327327504e-01,-4.282732977994981205e+00,-1.801805177065877217e+01,0.000000000000000000e+00
5.600000000000003586e-02,6.448161514999307675e-01,-4.341396716400972799e+00,-1.685411838878668078e+01,0.000000000000000000e+00
5.800000000000003764e-02,6.360266315475844312e-01,-4.394759976173174820e+00,-1.572405071442135238e+01,0.000000000000000000e+00
6.000000000000003941e-02,6.271406465443655209e-01,-4.442992501609481337e+00,-1.462731171067338920e+01,0.000000000000000000e+00
6.200000000000004119e-02,6.181681243294322448e-01,-4.486261107466612330e+00,-1.356336108662168272e+01,0.000000000000000000e+00
6.400000000000004297e-02,6.091186649998612257e-01,-4.524729664785499317e+00,-1.253165588170489997e+01,0.000000000000000000e+00
6.600000000000004474e-02,6.000015468204419333e-01,-4.558559089709658174e+00,-1.153165102795809105e+01,0.000000000000000000e+00
6.800000000000004652e-02,5.908257321499955639e-01,-4.587907335223185612e+00,-1.056279989021415844e+01,0.000000000000000000e+00
7.000000000000004829e-02,5.815998733785354702e-01,-4.612929385730072163e+00,-9.624554784442260313e+00,0.000000000000000000e+00
7.200000000000005007e-02,5.723323188697510000e-01,-4.633777254392214218e+00,-8.716367474442364482e+00,0.000000000000000000e+00
7.400000000000005185e-02,5.630311189034714614e-01,-4.650599983139763971e+00,-7.837689647159606920e+00,0.000000000000000000e+00
7.600000000000005362e-02,5.537040316129429041e-01,-4.663543645264263127e+00,-6.987973366921330864e+00,0.000000000000000000e+00
7.800000000000005540e-02,5.443585289119381443e-01,-4.672751350502355905e+00,-6.166671508936204305e+00,0.000000000000000000e+00
8.000000000000005718e-02,5.350018024069066458e-01,-4.678363252515753246e+00,-5.373238172426503922e+00,0.000000000000000000e+00
