time_s,drift_mm,alpha,hand_weight,right_arm_weight
0.001,0.0,0.0,1.0,1.0
0.501,0.0,0.0,1.0,1.0
1.001,0.0,0.0,1.0,1.0
1.501,0.0,0.0,1.0,1.0
2.001,0.0,0.0,1.0,1.0
2.501,0.0,0.0,1.0,1.0
3.001,0.0,0.0,1.0,1.0
3.501,0.0,0.0,1.0,1.0
4.001,0.0,0.0,1.0,1.0
4.501,3.65724,1.0,8.0,0.05
5.001,1.5953,1.0,8.0,0.05
5.501,1.92678,1.0,8.0,0.05
6.001,1.7896,1.0,8.0,0.05
6.501,1.17328,1.0,8.0,0.05
7.001,1.0464,1.0,8.0,0.05
7.501,0.421109,1.0,8.0,0.05
8.001,1.06072,1.0,8.0,0.05
8.501,0.246431,1.0,8.0,0.05
