mode,t_s,err_mm,des_x_m,des_y_m,des_z_m,cur_x_m,cur_y_m,cur_z_m,offset_x_m,offset_y_m,offset_z_m,source_log
SINE,0.501,1.93879,0.0416993,-0.349279,0.937247,0.0415173,-0.350291,0.93889,0.00224007,0.00158148,0.0,20260703_t1_traj_SINE.log
SINE,1.001,1.79592,0.0513259,-0.350879,0.937247,0.0518243,-0.34922,0.937721,0.0118666,0.0,0.0,20260703_t1_traj_SINE.log
SINE,1.501,2.7777,0.0500492,-0.358361,0.937247,0.0483502,-0.356726,0.938715,0.0105899,-0.00749996,0.0,20260703_t1_traj_SINE.log
SINE,2.001,3.11662,0.0394357,-0.350837,0.937247,0.0379115,-0.352982,0.938917,0.0,0.0,0.0,20260703_t1_traj_SINE.log
SINE,2.501,2.6006,0.028836,-0.343361,0.937247,0.0311769,-0.344493,0.937209,-0.0106232,0.00749996,0.0,20260703_t1_traj_SINE.log
SINE,3.001,3.30485,0.0244593,-0.350884,0.937247,0.0265162,-0.348306,0.937033,-0.015,0.0,0.0,20260703_t1_traj_SINE.log
SINE,3.501,2.26804,0.0288693,-0.358361,0.937247,0.0271512,-0.356973,0.937762,-0.0105899,-0.00749996,0.0,20260703_t1_traj_SINE.log
SINE,4.001,3.51959,0.0394828,-0.350837,0.937247,0.0370796,-0.353316,0.937932,0.0,0.0,0.0,20260703_t1_traj_SINE.log
SINE,4.501,1.57061,0.0500825,-0.343361,0.937247,0.0491273,-0.344585,0.937482,0.0106232,0.00749996,0.0,20260703_t1_traj_SINE.log
SINE,5.001,3.02142,0.0544592,-0.350884,0.937247,0.0541183,-0.348007,0.938104,0.015,0.0,0.0,20260703_t1_traj_SINE.log
SINE,5.501,2.34768,0.0500492,-0.358361,0.937247,0.0499559,-0.356675,0.938878,0.0105899,-0.00749996,0.0,20260703_t1_traj_SINE.log
SINE,6.001,2.73287,0.0394357,-0.350837,0.937247,0.0405707,-0.353273,0.937746,0.0,0.0,0.0,20260703_t1_traj_SINE.log
SINE,6.501,2.7624,0.028836,-0.343361,0.937247,0.0312512,-0.344599,0.936732,-0.0106232,0.00749996,0.0,20260703_t1_traj_SINE.log
SINE,7.001,3.136,0.0244593,-0.350884,0.937247,0.0259697,-0.348185,0.936728,-0.015,0.0,0.0,20260703_t1_traj_SINE.log
SINE,7.501,1.52985,0.0288693,-0.358361,0.937247,0.028675,-0.356845,0.937167,-0.0105899,-0.00749996,0.0,20260703_t1_traj_SINE.log
