sample_index,cycle,time_s,pos_err_mm,rot_err_deg,locked,angular_j_cols_count,model_nv
0.0,0.0,0.0,323.11,1.21877e-18,0.0,10.0,37.0
1.0,500.0,0.5,323.11,55.7324,0.0,10.0,37.0
2.0,1000.0,1.0,323.11,102.891,1.0,10.0,37.0
3.0,1500.0,1.5,373.606,112.148,1.0,10.0,37.0
