run,source_log,lock_count,time_s,pos_err_mm,rot_err_deg,locked,motion_state,leg_state
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,,1.001,0.0,7.76503e-19,0,0,2
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,,1.501,0.0,6.21202e-18,0,0,2
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,,2.001,0.0,0.0,0,0,2
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,,2.501,0.0,0.0,0,0,2
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,,3.001,0.0,0.0,0,1,0
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,,3.501,0.0,2.48481e-17,0,1,1
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,,4.001,0.0,4.96962e-17,0,1,0
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,4500,4.501,0.0,0.0,1,1,0
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,4500,5.001,9.84251,1.5051,1,1,1
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,4500,5.501,16.149,1.68901,1,1,0
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,4500,6.001,6.59307,1.04326,1,1,1
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,4500,6.501,11.5825,2.74413,1,1,1
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,4500,7.001,11.4057,1.44709,1,1,0
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,4500,7.501,11.3252,1.89348,1,1,1
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,4500,8.001,15.7698,3.1248,1,1,1
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,4500,8.501,11.324,1.17358,1,1,0
D3 lock@4500,D:\project\Robot_Dynamics_Control\projects\C_openloong_dyn_control_study\outputs\docker_reproduction\openloong_ubuntu22_build_R2\20260530_180827\logs\20260704_t5_d3_lock4500_smoke70.log,4500,9.001,6.91342,1.25,1,1,1
